자치구,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강남구,2719,3598,4341,5153,5830,6321,6906,7775,8363,8365
강동구,927,1200,1577,1933,2547,2809,3190,3549,4237,4496
강북구,195,196,540,1464,2002,2395,3034,3407,4247,4322
강서구,310,708,965,1419,1780,2215,2819,3248,4304,4351
관악구,716,1371,2032,2921,3322,3872,4010,4753,5804,7036
광진구,260,912,1376,2053,2247,2986,3262,3610,4625,4749
구로구,47,566,1098,1877,2629,3319,3656,4142,5464,5881
금천구,27,219,743,1111,1627,1834,2138,2962,3712,3724
노원구,667,823,1029,1342,1724,1937,2098,2721,4073,4109
도봉구,4,29,161,305,456,1000,1530,2166,2751,2820
동대문구,374,1044,1243,1458,1687,1913,2230,2983,3846,3846
동작구,1091,1352,1650,1962,2392,2423,2782,3209,3978,4156
마포구,1064,1428,1774,2157,2396,2560,2630,3366,3839,3843
서대문구,809,1355,1719,2120,2733,3158,3371,3793,4218,4337
서초구,1293,2315,2737,3076,3495,4060,4938,5395,6036,6032
성동구,1549,2415,2799,3276,3663,3957,4127,4443,4650,4682
성북구,587,956,1687,2330,2532,2906,3246,3654,4718,5074
송파구,370,603,1119,2171,2434,2609,2982,3923,4670,4683
양천구,487,1044,1867,2189,2535,2890,3278,4271,4854,4854
영등포구,636,980,1747,1812,3112,3400,3838,4276,5031,5172
용산구,144,589,707,1039,1661,2091,2549,2956,3610,3628
은평구,781,1140,1729,2781,3232,3803,4305,4771,5645,5719
종로구,51,116,251,318,545,630,858,1839,2826,2939
중구,406,773,1157,1320,1665,2069,2206,2344,2926,3276
중랑구,435,616,825,1885,2874,3478,3814,4498,5392,5392
