,자치구,업소 갯수,범죄수,범죄율
0,강남구,866,81473,94.07967667436489
1,강동구,280,44997,160.70357142857142
2,강북구,242,35873,148.23553719008265
3,강서구,360,52290,145.25
4,관악구,403,58521,145.2133995037221
5,광진구,113,46672,413.0265486725664
6,구로구,153,49446,323.1764705882353
7,금천구,157,32802,208.9299363057325
8,노원구,89,45086,506.5842696629214
9,도봉구,89,24426,274.44943820224717
10,동대문구,241,41003,170.13692946058092
11,동작구,120,34662,288.85
12,마포구,187,51808,277.048128342246
13,서대문구,114,32370,283.94736842105266
14,서초구,230,51993,226.05652173913043
15,성동구,80,28510,356.375
16,성북구,98,34179,348.765306122449
17,송파구,341,63641,186.63049853372434
18,양천구,88,39312,446.72727272727275
19,영등포구,570,60621,106.35263157894737
20,용산구,164,37200,226.82926829268294
21,은평구,269,42861,159.3345724907063
22,종로구,401,40476,100.93765586034912
23,중구,410,42956,104.77073170731707
24,중랑구,143,45742,319.87412587412587
